shape,A,d,tw,bf,tf,k,Ixx,Sx,rx,Zx,Iyy,Sy,ry,Zy,rts,ho,J,Cw
W10X54,15.8,10.1,0.37,10,0.615,1.12,303,60,4.37,66.6,103,20.6,2.56,31.3,2.86,9.48,1.82,2320
W10X49,14.4,10,0.34,10,0.56,1.06,272,54.6,4.35,60.4,93.4,18.7,2.54,28.3,2.84,9.42,1.39,2070
W10X45,13.3,10.1,0.35,8.02,0.62,1.12,248,49.1,4.32,54.9,53.4,13.3,2.01,20.3,2.27,9.48,1.51,1200
W10X39,11.5,9.92,0.315,7.99,0.53,1.03,209,42.1,4.27,46.8,45,11.3,1.98,17.2,2.24,9.39,0.976,992
W10X33,9.71,9.73,0.29,7.96,0.435,0.935,171,35,4.19,38.8,36.6,9.2,1.94,14,2.2,9.3,0.583,791
W10X30,8.84,10.5,0.3,5.81,0.51,0.81,170,32.4,4.38,36.6,16.7,5.75,1.37,8.84,1.6,10,0.622,414
W10X26,7.61,10.3,0.26,5.77,0.44,0.74,144,27.9,4.35,31.3,14.1,4.89,1.36,7.5,1.58,9.89,0.402,345
W10X22,6.49,10.2,0.24,5.75,0.36,0.66,118,23.2,4.27,26,11.4,3.97,1.33,6.1,1.55,9.81,0.239,275
W10X19,5.62,10.2,0.25,4.02,0.395,0.695,96.3,18.8,4.14,21.6,4.29,2.14,0.874,3.35,1.06,9.85,0.233,104
W10X17,4.99,10.1,0.24,4.01,0.33,0.63,81.9,16.2,4.05,18.7,3.56,1.78,0.845,2.8,1.04,9.78,0.156,85.1
W10X15,4.41,10,0.23,4,0.27,0.57,68.9,13.8,3.95,16,2.89,1.45,0.81,2.3,1.01,9.72,0.104,68.3
W10X12,3.54,9.87,0.19,3.96,0.21,0.51,53.8,10.9,3.9,12.6,2.18,1.1,0.785,1.74,0.983,9.66,0.0547,50.9
W8X67,19.7,9,0.57,8.28,0.935,1.33,272,60.4,3.72,70.1,88.6,21.4,2.12,32.7,2.43,8.07,5.05,1440
W8X58,17.1,8.75,0.51,8.22,0.81,1.2,228,52,3.365,59.8,75.1,18.3,2.1,27.9,2.39,7.94,3.33,1180
W8X48,14.1,8.5,0.4,8.11,0.685,1.08,184,43.2,3.61,49,60.9,15,2.08,22.9,2.35,7.82,1.96,931
W8X40,11.7,8.25,0.36,8.07,0.56,0.954,146,35.5,3.53,39.8,49.1,12.2,2.04,18.5,2.31,7.69,1.12,726
W8X35,10.3,8.12,0.31,8.02,0.495,0.889,127,31.2,3.51,34.7,42.6,10.6,2.03,16.1,2.28,7.63,0.769,619
W8X31,9.12,8,0.285,8,0.435,0.829,110,27.5,3.47,30.4,37.1,9.27,2.02,14.1,2.26,7.57,0.536,530
W8X28,8.24,8.06,0.285,6.54,0.465,0.859,98,24.3,3.45,27.2,21.7,6.63,1.62,10.1,1.84,7.6,0.537,312
W8X24,7.08,7.93,0.245,6.5,0.4,0.794,82.7,20.9,3.42,23.1,18.3,5.63,1.61,8.57,1.82,7.53,0.346,259
W8X21,6.16,8.28,0.25,5.27,0.4,0.7,75.3,18.2,3.49,20.4,9.77,3.71,1.26,5.69,0.146,7.88,0.282,152
W8X18,5.26,8.14,0.23,5.25,0.33,0.63,61.9,15.2,3.43,17,7.97,3.04,1.23,4.66,1.43,7.81,0.172,122
W8X15,4.44,8.11,0.245,4.02,0.315,0.615,48,11.8,3.29,13.6,3.41,1.7,0.876,2.67,1.06,7.8,0.137,51.8
W8X13,3.84,7.99,0.23,4,0.255,0.555,39.6,9.91,3.21,11.4,2.73,1.37,0.843,2.15,1.03,7.74,0.0871,40.8
